phrase,nlp,emotion,prediction
"C'est obscène, vous n'avez pas honte de faire des choses pareilles ?","['obscen', 'n', 'pas', 'hont', 'fair', 'chos', 'pareil']",disgust,fear
il étiat hideux ce soir là,"['etiat', 'hideux', 'soir']",disgust,fear
c'est infâme,['infam'],disgust,anger
Il était vraiment très anxieux à l'attente de ses résultats,"['etait', 'vrai', 'tre', 'anxieux', 'a', 'attent', 'resultat']",fear,fear
Il a fait une crise d'angoisse pour la première fois on a du l'amener à l'hopital,"['a', 'fait', 'cris', 'angoiss', 'premier', 'fois', 'a', 'amen', 'a', 'hopital']",fear,surprise
Il craignait que cela lui arrive également,"['craign', 'cel', 'arriv', 'egal']",fear,joy
"Tu l'aurais vu au zoo, il avait la phobie des araignées","['vu', 'zoo', 'phob', 'araigne']",fear,disgust
Il avait l'air agressif et intimidant,"['air', 'agress', 'intimid']",fear,fear
"L'alarme a sonné à trois heures du matin, tout le monde a du évacuer l'immeuble","['alarm', 'a', 'son', 'a', 'trois', 'heur', 'matin', 'tout', 'mond', 'a', 'evacu', 'immeubl']",fear,surprise
Les chimpanzés ont semé la terreur dans toute la ville,"['le', 'chimpanz', 'sem', 'terreur', 'tout', 'vill']",fear,anger
"Il avait la trouille de se jeter, on a du le pousser","['trouill', 'jet', 'a', 'pouss']",fear,surprise
"N'ais pas peur, tu vas y arriver courage","['n', 'ais', 'pas', 'peur', 'vas', 'arriv', 'courag']",fear,fear
J'ai des cauchemars dernièrement je dors vraiment très mal,"['cauchemar', 'dernier', 'dor', 'vrai', 'tre', 'mal']",fear,sadness
"La guerre risque d'arriver jusqu'ici, et le chaos reignera","['guerr', 'risqu', 'arriv', 'jusqu', 'ici', 'chaos', 'reign']",fear,anger
Il était desespéré et il était prêt à tout pour se venger de la mort de son frère,"['etait', 'desesper', 'etait', 'pret', 'a', 'tout', 'veng', 'mort', 'frer']",anger,sadness
Pourquoi tant de haine ?,"['pourquoi', 'tant', 'hain']",anger,disgust
"N'agace pas ton frère, tu sais qu'il est très irritable","['n', 'agac', 'pas', 'frer', 'sais', 'tre', 'irrit']",anger,surprise
La querelle n'en finissait pas entre les deux jumeaux,"['querel', 'n', 'fin', 'pas', 'entre', 'le', 'deux', 'jumeau']",anger,fear
Il était habité par la rage de vaincre,"['etait', 'habit', 'rag', 'vaincr']",anger,joy
On peut lire la fureur dans ses yeux,"['peut', 'lir', 'fureur', 'yeux']",anger,sadness
La tempête faisait rage,"['tempet', 'fais', 'rag']",anger,surprise
"Il voulait tabassait le mec qui lui avait fait ça, il y pensait nuit et jour","['voul', 'tabass', 'mec', 'fait', 'ca', 'pens', 'nuit', 'jour']",anger,fear
"Ils étaient déchainés, plus rien ne pouvait les arrêter","['il', 'etaient', 'dechain', 'plus', 'rien', 'ne', 'pouv', 'le', 'arret']",anger,surprise
Attention derrière toi !,"['attent', 'derrier']",surprise,fear
Quelle ne fût pas ma surprise quand je l'ai vu au loin,"['quel', 'ne', 'pas', 'surpris', 'quand', 'vu', 'loin']",surprise,fear
La qualité est vraiment très bonne alors que ça ne coutait vraiment pas cher,"['qualit', 'vrai', 'tre', 'bon', 'alor', 'ca', 'ne', 'cout', 'vrai', 'pas', 'cher']",surprise,anger
Venez décourir ce qu'il se passe ce weekend,"['ven', 'decour', 'pass', 'weekend']",surprise,sadness
Ah Marc vient finalement à la soirée ? Je pensais qu'il ne pouvait pas venir ,"['ah', 'marc', 'vient', 'final', 'a', 'soire', 'pens', 'ne', 'pouv', 'pas', 'ven']",surprise,surprise
"C'est vraiment incroyable, quel spectacle !","['vrai', 'incroi', 'quel', 'spectacl']",surprise,surprise
